timestamp,consumption_kwh,is_weekend,is_anomaly,hour,day_of_week
2024-01-01T00:00:00,0.2011,False,False,0,Monday
2024-01-01T01:00:00,0.1925,False,False,1,Monday
2024-01-01T02:00:00,0.2033,False,False,2,Monday
2024-01-01T03:00:00,0.2172,False,False,3,Monday
2024-01-01T04:00:00,0.2087,False,False,4,Monday
2024-01-01T05:00:00,0.2919,False,False,5,Monday
2024-01-01T06:00:00,0.6129,False,False,6,Monday
2024-01-01T07:00:00,1.0024,False,False,7,Monday
2024-01-01T08:00:00,1.1279,False,False,8,Monday
2024-01-01T09:00:00,0.9874,False,False,9,Monday
2024-01-01T10:00:00,0.534,False,False,10,Monday
2024-01-01T11:00:00,0.2872,False,False,11,Monday
2024-01-01T12:00:00,0.2161,False,False,12,Monday
2024-01-01T13:00:00,0.1726,False,False,13,Monday
2024-01-01T14:00:00,0.1878,False,False,14,Monday
2024-01-01T15:00:00,0.2689,False,False,15,Monday
2024-01-01T16:00:00,0.4358,False,False,16,Monday
2024-01-01T17:00:00,0.8446,False,False,17,Monday
2024-01-01T18:00:00,1.1578,False,False,18,Monday
2024-01-01T19:00:00,1.2845,False,False,19,Monday
2024-01-01T20:00:00,1.3633,False,False,20,Monday
2024-01-01T21:00:00,0.8133,False,False,21,Monday
2024-01-01T22:00:00,0.4713,False,False,22,Monday
2024-01-01T23:00:00,0.252,False,False,23,Monday
2024-01-02T00:00:00,0.2878,False,True,0,Tuesday
2024-01-02T01:00:00,0.3015,False,True,1,Tuesday
2024-01-02T02:00:00,0.2752,False,True,2,Tuesday
2024-01-02T03:00:00,0.31,False,True,3,Tuesday
2024-01-02T04:00:00,0.3128,False,True,4,Tuesday
2024-01-02T05:00:00,0.4475,False,True,5,Tuesday
2024-01-02T06:00:00,0.8137,False,True,6,Tuesday
2024-01-02T07:00:00,1.654,False,True,7,Tuesday
2024-01-02T08:00:00,1.7934,False,True,8,Tuesday
2024-01-02T09:00:00,1.3558,False,True,9,Tuesday
2024-01-02T10:00:00,0.8984,False,True,10,Tuesday
2024-01-02T11:00:00,0.4178,False,True,11,Tuesday
2024-01-02T12:00:00,0.3319,False,True,12,Tuesday
2024-01-02T13:00:00,0.2647,False,True,13,Tuesday
2024-01-02T14:00:00,0.2982,False,True,14,Tuesday
2024-01-02T15:00:00,0.4368,False,True,15,Tuesday
2024-01-02T16:00:00,0.7593,False,True,16,Tuesday
2024-01-02T17:00:00,1.2873,False,True,17,Tuesday
2024-01-02T18:00:00,1.8877,False,True,18,Tuesday
2024-01-02T19:00:00,2.1478,False,True,19,Tuesday
2024-01-02T20:00:00,1.7061,False,True,20,Tuesday
2024-01-02T21:00:00,1.2079,False,True,21,Tuesday
2024-01-02T22:00:00,0.6987,False,True,22,Tuesday
2024-01-02T23:00:00,0.4627,False,True,23,Tuesday
2024-01-03T00:00:00,0.1995,False,False,0,Wednesday
2024-01-03T01:00:00,0.1708,False,False,1,Wednesday
2024-01-03T02:00:00,0.1993,False,False,2,Wednesday
2024-01-03T03:00:00,0.1914,False,False,3,Wednesday
2024-01-03T04:00:00,0.2025,False,False,4,Wednesday
2024-01-03T05:00:00,0.3102,False,False,5,Wednesday
2024-01-03T06:00:00,0.593,False,False,6,Wednesday
2024-01-03T07:00:00,1.0154,False,False,7,Wednesday
2024-01-03T08:00:00,1.1001,False,False,8,Wednesday
2024-01-03T09:00:00,0.9327,False,False,9,Wednesday
2024-01-03T10:00:00,0.5659,False,False,10,Wednesday
2024-01-03T11:00:00,0.3178,False,False,11,Wednesday
2024-01-03T12:00:00,0.2058,False,False,12,Wednesday
2024-01-03T13:00:00,0.1971,False,False,13,Wednesday
2024-01-03T14:00:00,0.1975,False,False,14,Wednesday
2024-01-03T15:00:00,0.257,False,False,15,Wednesday
2024-01-03T16:00:00,0.4968,False,False,16,Wednesday
2024-01-03T17:00:00,0.9068,False,False,17,Wednesday
2024-01-03T18:00:00,1.2328,False,False,18,Wednesday
2024-01-03T19:00:00,1.5288,False,False,19,Wednesday
2024-01-03T20:00:00,1.2704,False,False,20,Wednesday
2024-01-03T21:00:00,0.7908,False,False,21,Wednesday
2024-01-03T22:00:00,0.4819,False,False,22,Wednesday
2024-01-03T23:00:00,0.3107,False,False,23,Wednesday
2024-01-04T00:00:00,0.1945,False,False,0,Thursday
2024-01-04T01:00:00,0.2163,False,False,1,Thursday
2024-01-04T02:00:00,0.1593,False,False,2,Thursday
2024-01-04T03:00:00,0.2082,False,False,3,Thursday
2024-01-04T04:00:00,0.2141,False,False,4,Thursday
2024-01-04T05:00:00,0.2915,False,False,5,Thursday
2024-01-04T06:00:00,0.5571,False,False,6,Thursday
2024-01-04T07:00:00,0.8214,False,False,7,Thursday
2024-01-04T08:00:00,1.1518,False,False,8,Thursday
2024-01-04T09:00:00,0.978,False,False,9,Thursday
2024-01-04T10:00:00,0.6109,False,False,10,Thursday
2024-01-04T11:00:00,0.2869,False,False,11,Thursday
2024-01-04T12:00:00,0.2011,False,False,12,Thursday
2024-01-04T13:00:00,0.1929,False,False,13,Thursday
2024-01-04T14:00:00,0.228,False,False,14,Thursday
2024-01-04T15:00:00,0.2872,False,False,15,Thursday
2024-01-04T16:00:00,0.453,False,False,16,Thursday
2024-01-04T17:00:00,0.8587,False,False,17,Thursday
2024-01-04T18:00:00,1.2486,False,False,18,Thursday
2024-01-04T19:00:00,1.5267,False,False,19,Thursday
2024-01-04T20:00:00,1.1793,False,False,20,Thursday
2024-01-04T21:00:00,0.8099,False,False,21,Thursday
2024-01-04T22:00:00,0.4576,False,False,22,Thursday
2024-01-04T23:00:00,0.252,False,False,23,Thursday
2024-01-05T00:00:00,0.1992,False,False,0,Friday
2024-01-05T01:00:00,0.1987,False,False,1,Friday
2024-01-05T02:00:00,0.1953,False,False,2,Friday
2024-01-05T03:00:00,0.1938,False,False,3,Friday
2024-01-05T04:00:00,0.1919,False,False,4,Friday
2024-01-05T05:00:00,0.2892,False,False,5,Friday
2024-01-05T06:00:00,0.5408,False,False,6,Friday
2024-01-05T07:00:00,0.9013,False,False,7,Friday
2024-01-05T08:00:00,1.1576,False,False,8,Friday
2024-01-05T09:00:00,0.982,False,False,9,Friday
2024-01-05T10:00:00,0.6272,False,False,10,Friday
2024-01-05T11:00:00,0.3016,False,False,11,Friday
2024-01-05T12:00:00,0.2172,False,False,12,Friday
2024-01-05T13:00:00,0.199,False,False,13,Friday
2024-01-05T14:00:00,0.1856,False,False,14,Friday
2024-01-05T15:00:00,0.2805,False,False,15,Friday
2024-01-05T16:00:00,0.4729,False,False,16,Friday
2024-01-05T17:00:00,0.9727,False,False,17,Friday
2024-01-05T18:00:00,1.2245,False,False,18,Friday
